,Flow,Description,max_interpacket_interval,min_interpacket_interval,avg_interpacket_interval,sum_interpacket_interval,max_packet_length,min_packet_length,avg_packet_length,sum_packet_length,mode_packet_length,max_feature_mean_func_interpacket_interval_per_0.2,min_feature_mean_func_interpacket_interval_per_0.2,std_feature_mean_func_interpacket_interval_per_0.2,mean_feature_mean_func_interpacket_interval_per_0.2,max_feature_sum_func_interpacket_interval_per_0.2,min_feature_sum_func_interpacket_interval_per_0.2,std_feature_sum_func_interpacket_interval_per_0.2,mean_feature_sum_func_interpacket_interval_per_0.2,max_feature_mean_func_interpacket_interval_per_0.05,min_feature_mean_func_interpacket_interval_per_0.05,std_feature_mean_func_interpacket_interval_per_0.05,mean_feature_mean_func_interpacket_interval_per_0.05,max_feature_sum_func_interpacket_interval_per_0.05,min_feature_sum_func_interpacket_interval_per_0.05,std_feature_sum_func_interpacket_interval_per_0.05,mean_feature_sum_func_interpacket_interval_per_0.05,max_feature_mean_func_packet_length_per_0.2,min_feature_mean_func_packet_length_per_0.2,std_feature_mean_func_packet_length_per_0.2,mean_feature_mean_func_packet_length_per_0.2,max_feature_sum_func_packet_length_per_0.2,min_feature_sum_func_packet_length_per_0.2,std_feature_sum_func_packet_length_per_0.2,mean_feature_sum_func_packet_length_per_0.2,max_feature_mean_func_packet_length_per_0.05,min_feature_mean_func_packet_length_per_0.05,std_feature_mean_func_packet_length_per_0.05,mean_feature_mean_func_packet_length_per_0.05,max_feature_sum_func_packet_length_per_0.05,min_feature_sum_func_packet_length_per_0.05,std_feature_sum_func_packet_length_per_0.05,mean_feature_sum_func_packet_length_per_0.05,max_feature_packet_number_per_0.2,min_feature_packet_number_per_0.2,std_feature_packet_number_per_0.2,mean_feature_packet_number_per_0.2,label
0,192.168.1.69:57561<-->87.250.247.181:443,All packet,0.01220393180847168,0.0,0.0021976312001546223,0.06592893600463867,1274,54,350.51612903225805,10866,54,0.04929783344268799,0.04929783344268799,0.0,0.04929783344268799,1.4789350032806396,1.4789350032806396,0.0,1.4789350032806396,0.03397849202156067,0.01138951097215925,0.011294490524700709,0.022684001496859958,0.27182793617248535,0.1594531536102295,0.05618739128112793,0.21564054489135742,172.92307692307693,172.92307692307693,0.0,172.92307692307693,4496.0,4496.0,0.0,4496.0,486.4166666666667,110.375,188.02083333333334,298.39583333333337,5837.0,1766.0,2035.5,3801.5,31,31,0.0,31.0,normal
1,192.168.1.69:7402<-->90.189.193.210:443,All packet,0.049321889877319336,0.0,0.006480232874552409,0.19440698623657227,1514,54,366.96774193548384,11376,54,0.1464675505956014,0.1464675505956014,0.0,0.1464675505956014,4.394026517868042,4.394026517868042,0.0,4.394026517868042,0.04804718494415283,0.0037945310274759927,0.018852176976107256,0.02211154831780328,0.17391514778137207,0.045534372329711914,0.05280363027353388,0.10518129666646321,120.6,120.6,0.0,120.6,3015.0,3015.0,0.0,3015.0,131.1,62.0,28.4162316682248,94.13333333333333,1311.0,186.0,464.30330125420767,796.6666666666666,31,31,0.0,31.0,normal
2,213.180.193.234:443<-->192.168.1.69:3810,All packet,45.00987386703491,0.0,4.506041733423869,135.18125200271606,984,54,149.96774193548387,4649,54,0.07151336669921875,0.07151336669921875,0.0,0.07151336669921875,1.430267333984375,1.430267333984375,0.0,1.430267333984375,0.026573657989501953,0.020663562573884662,0.0029550477078086456,0.023618610281693306,0.3926076889038086,0.07972097396850586,0.15644335746765137,0.23616433143615723,92.36363636363636,92.36363636363636,0.0,92.36363636363636,2032.0,2032.0,0.0,2032.0,86.375,62.0,12.1875,74.1875,1382.0,186.0,598.0,784.0,25,2,9.959292143521045,7.75,normal
3,192.168.1.69:7024<-->77.74.181.38:443,All packet,3.864253044128418,0.0,0.13418520291646321,4.0255560874938965,1514,54,213.19354838709677,6609,54,0.06926527288224962,0.02045726776123047,0.024404002560509577,0.044861270321740046,1.2467749118804932,0.12274360656738281,0.5620156526565552,0.684759259223938,0.025524059931437176,0.0126112699508667,0.005312168521617999,0.019530865881178115,0.2017803192138672,0.07657217979431152,0.051699646219648045,0.1336987018585205,109.71428571428571,77.82352941176471,15.945378151260499,93.76890756302521,1323.0,768.0,277.5,1045.5,109.71428571428571,59.333333333333336,20.56988711558949,84.32356532356532,1091.0,178.0,378.00617278910494,679.0,22,9,6.5,15.5,normal
4,192.168.1.69:1382<-->108.177.14.188:443,All packet,45.014058113098145,0.0,9.011809571584065,270.354287147522,1466,54,318.96774193548384,9888,66,0.08649708095349763,0.08649708095349763,0.0,0.08649708095349763,1.643444538116455,1.643444538116455,0.0,1.643444538116455,0.025220076243082683,0.005697886149088542,0.007992258178537652,0.015881398711541685,0.1839885711669922,0.017093658447265625,0.06913672831717732,0.09224748611450195,461.4,461.4,0.0,461.4,9228.0,9228.0,0.0,9228.0,677.5833333333334,62.0,284.9223768019443,274.86111111111114,8131.0,186.0,3709.543577794384,2885.6666666666665,20,1,6.366365701473484,4.428571428571429,normal
5,192.168.1.69:6288<-->87.250.251.183:443,All packet,31.154449939727783,0.0,1.4949896335601807,44.84968900680542,1464,54,538.1290322580645,16682,54,0.055216407775878905,0.00876307487487793,0.01984654396349283,0.036126967712684914,0.7992255687713623,0.02628922462463379,0.3220604144539157,0.3671989440917969,0.03516779627118792,0.00876307487487793,0.01031089931786846,0.01764026653198969,0.24617457389831543,0.02628922462463379,0.08872536034735819,0.09522384405136108,888.75,487.1,175.50993447313869,643.6722222222222,9742.0,3331.0,2970.7848944157654,5542.666666666667,888.75,459.84615384615387,166.89007101698925,635.9823717948718,5978.0,2720.0,1271.4280111355106,3836.25,20,1,7.292976072907411,7.75,normal
6,213.180.193.234:443<-->192.168.1.69:3698,All packet,45.01734495162964,0.0,4.50486863454183,135.14605903625488,1082,54,154.83870967741936,4800,54,0.0606561465696855,0.0606561465696855,0.0,0.0606561465696855,1.334435224533081,1.334435224533081,0.0,1.334435224533081,0.03083948294321696,0.011710427024147728,0.009564527959534616,0.021274954983682343,0.18503689765930176,0.128814697265625,0.02811110019683838,0.15692579746246338,79.0,79.0,0.0,79.0,1659.0,1659.0,0.0,1659.0,91.5,82.125,4.6875,86.8125,1314.0,549.0,382.5,931.5,26,1,10.54454835448157,7.75,normal
7,192.168.1.69:3532<-->141.8.179.48:443,All packet,0.059760093688964844,0.0,0.004962428410847982,0.14887285232543945,1464,54,791.8709677419355,24548,1464,0.08604276974995931,0.08604276974995931,0.0,0.08604276974995931,2.5812830924987793,2.5812830924987793,0.0,2.5812830924987793,0.02102388275994195,0.0002769990400834517,0.008502021583777447,0.011172698976444247,0.18921494483947754,0.0030469894409179688,0.07616715915315686,0.09259414672851562,791.8709677419355,791.8709677419355,0.0,791.8709677419355,24548.0,24548.0,0.0,24548.0,1433.4545454545455,258.57142857142856,497.4383510337891,752.7753246753247,15768.0,1810.0,5885.7870048674595,7747.0,31,31,0.0,31.0,normal
8,192.168.1.69:56517<-->149.154.167.222:443,All packet,0.14922308921813965,0.0,0.017061034838358562,0.5118310451507568,1294,54,626.7741935483871,19430,1294,0.10164693423679896,0.014613906542460123,0.03597229050926778,0.06210205100831531,0.7115285396575928,0.21013593673706055,0.22492645452223958,0.39490493138631183,0.020281434059143066,0.0010679960250854492,0.0080606641647065,0.011987778875562878,0.2630503177642822,0.0021359920501708984,0.11501380372091735,0.10191639264424641,902.421052631579,171.125,331.988494508347,434.0986842105263,17146.0,915.0,7546.634319718662,6476.666666666667,902.421052631579,105.0,365.6197837526457,386.0292397660819,17146.0,315.0,7902.116214449561,5971.0,19,4,6.342099196813483,10.333333333333334,normal
9,212.188.77.149:443<-->192.168.1.69:58007,All packet,0.013830900192260742,0.0,0.0017788330713907877,0.05336499214172363,1514,54,362.6774193548387,11243,54,0.04237189292907715,0.04237189292907715,0.0,0.04237189292907715,1.2711567878723145,1.2711567878723145,0.0,1.2711567878723145,0.03160769598824637,0.000919183095296224,0.015344256446475073,0.0162634395417713,0.4425077438354492,0.01378774642944336,0.21435999870300293,0.2281477451324463,141.26923076923077,141.26923076923077,0.0,141.26923076923077,3673.0,3673.0,0.0,3673.0,172.92307692307693,109.61538461538461,31.65384615384616,141.26923076923077,2248.0,1425.0,411.5,1836.5,31,31,0.0,31.0,normal
