,Flow,max_interpacket_interval,min_interpacket_interval,avg_interpacket_interval,sum_interpacket_interval,max_packet_length,min_packet_length,avg_packet_length,sum_packet_length,mode_packet_length,max_feature_mean_func_interpacket_interval_per_0.2,min_feature_mean_func_interpacket_interval_per_0.2,std_feature_mean_func_interpacket_interval_per_0.2,mean_feature_mean_func_interpacket_interval_per_0.2,max_feature_sum_func_interpacket_interval_per_0.2,min_feature_sum_func_interpacket_interval_per_0.2,std_feature_sum_func_interpacket_interval_per_0.2,mean_feature_sum_func_interpacket_interval_per_0.2,max_feature_mean_func_interpacket_interval_per_0.05,min_feature_mean_func_interpacket_interval_per_0.05,std_feature_mean_func_interpacket_interval_per_0.05,mean_feature_mean_func_interpacket_interval_per_0.05,max_feature_sum_func_interpacket_interval_per_0.05,min_feature_sum_func_interpacket_interval_per_0.05,std_feature_sum_func_interpacket_interval_per_0.05,mean_feature_sum_func_interpacket_interval_per_0.05,max_feature_mean_func_packet_length_per_0.2,min_feature_mean_func_packet_length_per_0.2,std_feature_mean_func_packet_length_per_0.2,mean_feature_mean_func_packet_length_per_0.2,max_feature_sum_func_packet_length_per_0.2,min_feature_sum_func_packet_length_per_0.2,std_feature_sum_func_packet_length_per_0.2,mean_feature_sum_func_packet_length_per_0.2,max_feature_mean_func_packet_length_per_0.05,min_feature_mean_func_packet_length_per_0.05,std_feature_mean_func_packet_length_per_0.05,mean_feature_mean_func_packet_length_per_0.05,max_feature_sum_func_packet_length_per_0.05,min_feature_sum_func_packet_length_per_0.05,std_feature_sum_func_packet_length_per_0.05,mean_feature_sum_func_packet_length_per_0.05,max_feature_packet_number_per_0.2,min_feature_packet_number_per_0.2,std_feature_packet_number_per_0.2,mean_feature_packet_number_per_0.2,label
0,192.168.1.78:53460<-->142.251.143.74:443,0.0704810619354248,9.5367431640625e-07,0.008339031537373861,0.2501709461212158,1466,66,531.3225806451613,16471,66,0.09780506083839818,0.0025496085484822593,0.047627726144957964,0.05017733469344022,1.8582961559295654,0.015297651290893555,0.9214992523193359,0.9367969036102295,0.03699493408203125,0.000521540641784668,0.01460272137302909,0.012328341151728775,0.11098480224609375,0.002086162567138672,0.049162410673911236,0.05752217769622803,544.7083333333334,485.42857142857144,29.639880952380963,515.0684523809524,13073,3398,4837.5,8235.5,800.0,72.66666666666667,304.6261069475392,359.12380952380954,11200,218,4454.4016433186625,3802.0,24,7,8.5,15.5,normal
1,193.22.151.107:443<-->192.168.1.78:53815,0.007607936859130859,9.5367431640625e-07,0.0008745034535725912,0.026235103607177734,1464,66,641.741935483871,19894,1464,0.018828916549682616,0.018828916549682616,0.0,0.018828916549682616,0.5648674964904785,0.5648674964904785,0.0,0.5648674964904785,0.018828916549682616,0.018828916549682616,0.0,0.018828916549682616,0.5648674964904785,0.5648674964904785,0.0,0.5648674964904785,641.741935483871,641.741935483871,0.0,641.741935483871,19894,19894,0.0,19894.0,641.741935483871,641.741935483871,0.0,641.741935483871,19894,19894,0.0,19894.0,31,31,0.0,31.0,normal
2,192.168.1.78:52272<-->87.250.250.246:443,0.49091196060180664,3.0994415283203125e-06,0.025225265820821127,0.7567579746246338,1464,66,324.03225806451616,10045,66,0.048977414766947426,0.04356535275777181,0.002706031004587807,0.04627138376235962,0.6534802913665771,0.5877289772033691,0.032875657081604004,0.6206046342849731,0.0341324508190155,0.0035018126169840493,0.012060462286562865,0.013514724870522816,0.273059606552124,0.010505437850952148,0.10210131856901788,0.09946155548095703,242.84615384615384,162.64285714285714,40.10164835164835,202.7445054945055,3157,2277,440.0,2717.0,435.0,118.66666666666667,118.90698094387687,263.0729166666667,3915,712,1229.586719186573,1851.0,16,15,0.5,15.5,normal
3,192.168.1.78:52246<-->149.154.167.41:443,4.041489839553833,1.1920928955078125e-06,0.32146493593851727,9.643948078155518,1294,66,306.8709677419355,9513,66,0.0873028039932251,0.015164852142333984,0.02287172129211472,0.05322521527608236,0.3492112159729004,0.0909891128540039,0.09732338614571279,0.229767370223999,0.015164852142333984,0.000776966412862142,0.005550102138745544,0.005835125843683878,0.0909891128540039,0.0046617984771728516,0.03622062296592983,0.028323113918304443,513.7142857142857,128.0,146.7320365878716,221.51785714285717,3596,606,1139.5697433680837,1385.0,513.7142857142857,67.33333333333333,175.73513999037766,214.55952380952382,3596,202,1360.563555112366,1316.25,10,4,2.1354156504062622,6.2,normal
4,192.168.1.78:60505<-->142.250.180.78:443,0.04018402099609375,9.5367431640625e-07,0.006839372493602612,0.1846630573272705,1294,63,470.75,13181,1242,0.10071363272490325,0.10071363272490325,0.0,0.10071363272490325,2.7192680835723877,2.7192680835723877,0.0,2.7192680835723877,0.045087242126464845,0.0018610954284667969,0.017748177194402144,0.02213604185316298,0.2918968200683594,0.0074443817138671875,0.12149560566705431,0.1749258041381836,470.75,470.75,0.0,470.75,13181,13181,0.0,13181.0,1242.0,69.8,494.3580939306266,568.2041666666667,6285,349,2780.7481407387872,4281.333333333333,28,28,0.0,28.0,normal
5,192.168.1.78:53748<-->142.250.180.110:443,120.14902091026306,9.5367431640625e-07,4.011854966481526,120.3556489944458,1466,66,365.06451612903226,11317,66,0.11873836870546695,0.11873836870546695,0.0,0.11873836870546695,3.2059359550476074,3.2059359550476074,0.0,3.2059359550476074,0.042019049326578774,0.009533814021519251,0.013353161234408616,0.024675258932241734,0.2921478748321533,0.06673669815063477,0.09540279747076946,0.16164724032084146,216.33333333333334,216.33333333333334,0.0,216.33333333333334,5192,5192,0.0,5192.0,756.0,72.66666666666667,310.8210974654546,317.4166666666667,7560,218,3204.772794858735,3087.0,28,1,12.498888839501783,10.333333333333334,normal
6,192.168.1.78:53776<-->37.9.93.165:443,0.022480010986328125,9.5367431640625e-07,0.003282968203226725,0.09848904609680176,1464,66,398.80645161290323,12363,66,0.05774770577748616,0.05774770577748616,0.0,0.05774770577748616,1.732431173324585,1.732431173324585,0.0,1.732431173324585,0.04067216979132758,0.010163974761962891,0.015254097514682345,0.025418072276645234,0.36604952812194824,0.15245962142944336,0.10679495334625244,0.2592545747756958,198.03846153846155,198.03846153846155,0.0,198.03846153846155,5149,5149,0.0,5149.0,192.83333333333334,139.23076923076923,26.801282051282058,166.03205128205127,2314,1810,252.0,2062.0,31,31,0.0,31.0,normal
7,192.168.1.78:53796<-->176.58.41.203:443,0.016088008880615234,0.0,0.0015717029571533203,0.04715108871459961,1514,66,790.0645161290323,24492,1514,0.031064136823018392,0.031064136823018392,0.0,0.031064136823018392,0.9319241046905518,0.9319241046905518,0.0,0.9319241046905518,0.031064136823018392,0.031064136823018392,0.0,0.031064136823018392,0.9319241046905518,0.9319241046905518,0.0,0.9319241046905518,790.0645161290323,790.0645161290323,0.0,790.0645161290323,24492,24492,0.0,24492.0,790.0645161290323,790.0645161290323,0.0,790.0645161290323,24492,24492,0.0,24492.0,31,31,0.0,31.0,normal
8,212.124.96.15:443<-->192.168.1.78:53788,0.16369390487670898,0.0,0.025815200805664063,0.7744560241699219,1514,66,836.6774193548387,25937,1514,0.1516855557759603,1.049041748046875e-05,0.07104516304880958,0.05121883021460639,0.45505666732788086,9.441375732421875e-05,0.2100237901435015,0.15825184186299643,0.0017589463127983941,1.049041748046875e-05,0.0006604385161884596,0.0006526145670149061,0.015830516815185547,9.441375732421875e-05,0.006605492875625096,0.004401743412017822,1514.0,72.66666666666667,595.6980627044215,727.6984126984127,16654,218,6710.091372121711,8407.333333333334,1514.0,241.0,508.85011503007024,682.3409090909091,15140,723,5908.573743933472,6053.25,14,4,4.496912521077347,10.333333333333334,normal
9,192.168.1.78:64550<-->142.251.143.42:443,0.044435977935791016,0.0,0.005102698008219401,0.15308094024658203,1294,63,621.0,19251,1242,0.10443946520487467,0.10443946520487467,0.0,0.10443946520487467,3.1331839561462402,3.1331839561462402,0.0,3.1331839561462402,0.04457652568817139,0.010442209243774415,0.014576299154894373,0.030532327152433845,0.5120954513549805,0.08915305137634277,0.19587722483611641,0.23522353172302246,621.0,621.0,0.0,621.0,19251,19251,0.0,19251.0,1242.0,176.0,435.55891875059916,696.3725490196078,11409,1584,4218.310325236871,5573.0,31,31,0.0,31.0,normal
