,Flow,max_interpacket_interval,min_interpacket_interval,avg_interpacket_interval,sum_interpacket_interval,max_packet_length,min_packet_length,avg_packet_length,sum_packet_length,mode_packet_length,max_feature_mean_func_interpacket_interval_per_0.2,min_feature_mean_func_interpacket_interval_per_0.2,std_feature_mean_func_interpacket_interval_per_0.2,mean_feature_mean_func_interpacket_interval_per_0.2,max_feature_sum_func_interpacket_interval_per_0.2,min_feature_sum_func_interpacket_interval_per_0.2,std_feature_sum_func_interpacket_interval_per_0.2,mean_feature_sum_func_interpacket_interval_per_0.2,max_feature_mean_func_interpacket_interval_per_0.05,min_feature_mean_func_interpacket_interval_per_0.05,std_feature_mean_func_interpacket_interval_per_0.05,mean_feature_mean_func_interpacket_interval_per_0.05,max_feature_sum_func_interpacket_interval_per_0.05,min_feature_sum_func_interpacket_interval_per_0.05,std_feature_sum_func_interpacket_interval_per_0.05,mean_feature_sum_func_interpacket_interval_per_0.05,max_feature_mean_func_packet_length_per_0.2,min_feature_mean_func_packet_length_per_0.2,std_feature_mean_func_packet_length_per_0.2,mean_feature_mean_func_packet_length_per_0.2,max_feature_sum_func_packet_length_per_0.2,min_feature_sum_func_packet_length_per_0.2,std_feature_sum_func_packet_length_per_0.2,mean_feature_sum_func_packet_length_per_0.2,max_feature_mean_func_packet_length_per_0.05,min_feature_mean_func_packet_length_per_0.05,std_feature_mean_func_packet_length_per_0.05,mean_feature_mean_func_packet_length_per_0.05,max_feature_sum_func_packet_length_per_0.05,min_feature_sum_func_packet_length_per_0.05,std_feature_sum_func_packet_length_per_0.05,mean_feature_sum_func_packet_length_per_0.05,max_feature_packet_number_per_0.2,min_feature_packet_number_per_0.2,std_feature_packet_number_per_0.2,mean_feature_packet_number_per_0.2,label
0,192.168.1.78:52246<-->149.154.167.41:443,0.08097410202026367,0.0,0.012409162521362305,0.37227487564086914,1294,66,309.7741935483871,9603,66,0.12152526378631592,0.08055364458184493,0.020485809602235498,0.10103945418408042,1.5305192470550537,1.2152526378631592,0.15763330459594727,1.3728859424591064,0.018829286098480225,3.898143768310547e-05,0.006478464671809755,0.007717032375789824,0.0753171443939209,7.796287536621094e-05,0.026959058767581413,0.03181914488474528,399.25,147.0909090909091,126.07954545454545,273.17045454545456,7985.0,1618.0,3183.5,4801.5,657.375,70.66666666666667,196.56944751112835,253.75694444444446,5259.0,419.0,1731.6793069798525,1414.3333333333333,20,11,4.5,15.5,normal
1,192.168.1.78:52270<-->93.158.134.119:443,0.0198819637298584,9.5367431640625e-07,0.0021917343139648436,0.06575202941894531,1464,66,673.6129032258065,20882,1464,0.046095871925354005,0.046095871925354005,0.0,0.046095871925354005,1.3828761577606201,1.3828761577606201,0.0,1.3828761577606201,0.04005111347545277,0.014013665063040597,0.013018724206206084,0.02703238926924668,0.8811244964599609,0.09809565544128418,0.3915144205093384,0.48961007595062256,673.6129032258065,673.6129032258065,0.0,673.6129032258065,20882.0,20882.0,0.0,20882.0,845.2173913043479,123.71428571428571,360.7515527950311,484.46583850931677,19440.0,866.0,9287.0,10153.0,31,31,0.0,31.0,normal
2,192.168.1.78:52729<-->2.17.156.26:443,0.0784308910369873,9.5367431640625e-07,0.01201942761739095,0.3605828285217285,1514,66,591.741935483871,18344,66,0.08510210934807272,0.07709004481633504,0.0040060322658688405,0.08109607708220387,1.4467358589172363,0.9250805377960205,0.2608276605606079,1.1859081983566284,0.030882954597473145,4.561742146809896e-05,0.012759753924195625,0.013225018978118895,0.16403770446777344,0.00013685226440429688,0.0649279602530396,0.06153289477030436,701.6111111111111,136.9,282.3555555555555,419.25555555555553,12629.0,1369.0,5630.0,6999.0,1448.6666666666667,72.66666666666667,513.501076075129,590.0037037037038,7520.0,218.0,2592.760074815168,2696.8333333333335,18,13,2.5,15.5,normal
3,193.22.149.113:443<-->192.168.1.78:52405,0.008548974990844727,9.5367431640625e-07,0.00103300412495931,0.030990123748779297,1464,66,726.3548387096774,22517,1464,0.022252154350280762,0.022252154350280762,0.0,0.022252154350280762,0.6675646305084229,0.6675646305084229,0.0,0.6675646305084229,0.022252154350280762,0.022252154350280762,0.0,0.022252154350280762,0.6675646305084229,0.6675646305084229,0.0,0.6675646305084229,726.3548387096774,726.3548387096774,0.0,726.3548387096774,22517.0,22517.0,0.0,22517.0,726.3548387096774,726.3548387096774,0.0,726.3548387096774,22517.0,22517.0,0.0,22517.0,31,31,0.0,31.0,normal
4,193.238.46.19:443<-->192.168.1.78:52449,0.09418797492980957,9.5367431640625e-07,0.004622737566630046,0.13868212699890137,1514,66,629.741935483871,19522,66,0.13174086146884495,0.13174086146884495,0.0,0.13174086146884495,3.5570032596588135,3.5570032596588135,0.0,3.5570032596588135,0.03755288653903537,0.03755288653903537,0.0,0.03755288653903537,1.013927936553955,1.013927936553955,0.0,1.013927936553955,629.741935483871,629.741935483871,0.0,629.741935483871,19522.0,19522.0,0.0,19522.0,648.1333333333333,648.1333333333333,0.0,648.1333333333333,19444.0,19444.0,0.0,19444.0,31,31,0.0,31.0,normal
5,192.168.1.78:52110<-->17.248.236.69:443,0.05193591117858887,9.5367431640625e-07,0.01223137378692627,0.3669412136077881,1514,66,621.8064516129032,19276,66,0.12280823389689127,0.047764982495989115,0.03752162570045108,0.0852866081964402,1.8421235084533691,0.6687097549438477,0.5867068767547607,1.2554166316986084,0.04919910430908203,0.00019347667694091797,0.015723789161064664,0.021038177704054212,0.24282383918762207,0.00038695335388183594,0.08104202708051234,0.09074413776397705,650.6875,591.0,29.84375,620.84375,10411.0,8865.0,773.0,9638.0,1031.3333333333333,72.66666666666667,375.0367357406563,634.4629629629629,6622.0,218.0,1992.72190315993,2891.5,16,15,0.5,15.5,normal
6,192.168.1.78:52520<-->142.251.143.69:443,0.1441960334777832,0.0,0.010720332463582357,0.3216099739074707,1466,66,443.80645161290323,13758,66,0.10158820774244226,2.923011779785156e-05,0.05077948881232221,0.05080871893012005,2.336528778076172,0.0001461505889892578,1.1681913137435913,1.1683374643325806,0.03756101926167806,2.923011779785156e-05,0.014596309038012222,0.013812551534537114,0.15134716033935547,0.0001461505889892578,0.06219991921105986,0.0718957781791687,487.4583333333333,136.0,175.72916666666666,311.72916666666663,11699.0,816.0,5441.5,6257.5,807.8333333333334,72.66666666666667,309.9232273520723,272.8392857142857,9694.0,218.0,3978.3701436643623,2813.0,24,7,8.5,15.5,normal
7,193.22.151.5:443<-->192.168.1.78:52273,0.009198904037475586,0.0,0.0009132703145345052,0.027398109436035156,1464,66,636.8064516129032,19741,1464,0.02095053195953369,0.02095053195953369,0.0,0.02095053195953369,0.6285159587860107,0.6285159587860107,0.0,0.6285159587860107,0.02095053195953369,0.02095053195953369,0.0,0.02095053195953369,0.6285159587860107,0.6285159587860107,0.0,0.6285159587860107,636.8064516129032,636.8064516129032,0.0,636.8064516129032,19741.0,19741.0,0.0,19741.0,636.8064516129032,636.8064516129032,0.0,636.8064516129032,19741.0,19741.0,0.0,19741.0,31,31,0.0,31.0,normal
8,192.168.1.78:64846<-->17.253.39.51:443,0.05161905288696289,9.5367431640625e-07,0.004873466491699219,0.14620399475097656,1392,74,610.6774193548387,18931,1242,0.0720302661259969,0.0720302661259969,0.0,0.0720302661259969,2.1609079837799072,2.1609079837799072,0.0,2.1609079837799072,0.027618885040283203,0.014780551195144653,0.006419166922569275,0.021199718117713928,0.3547332286834717,0.08285665512084961,0.13593828678131104,0.21879494190216064,610.6774193548387,610.6774193548387,0.0,610.6774193548387,18931.0,18931.0,0.0,18931.0,620.64,107.0,256.82,363.82,15516.0,321.0,7597.5,7918.5,31,31,0.0,31.0,normal
9,192.168.1.78:52413<-->108.177.14.198:443,0.5111649036407471,9.5367431640625e-07,0.054555567105611165,1.636667013168335,1466,66,787.3870967741935,24409,1466,0.052771528561909996,0.00045482317606608075,0.024389025710281977,0.0349393884340922,0.6191017627716064,0.0013644695281982422,0.2522082173831625,0.3123651345570882,0.03268098831176758,0.00045482317606608075,0.013295172614979553,0.012228951454162598,0.09804296493530273,0.0013644695281982422,0.038453851010801586,0.0391486644744873,792.0,698.5714285714286,38.16056414897912,744.4453781512606,12627.0,3960.0,3885.056241549149,7159.0,1003.3333333333334,71.0,389.5793302809911,554.3303030303031,10294.0,284.0,3662.64988225738,3299.2,17,1,5.878775382679627,6.2,normal
