,Flow,Description,max_interpacket_interval,min_interpacket_interval,avg_interpacket_interval,sum_interpacket_interval,max_packet_length,min_packet_length,avg_packet_length,sum_packet_length,mode_packet_length,max_feature_mean_func_interpacket_interval_per_0.2,min_feature_mean_func_interpacket_interval_per_0.2,std_feature_mean_func_interpacket_interval_per_0.2,mean_feature_mean_func_interpacket_interval_per_0.2,max_feature_sum_func_interpacket_interval_per_0.2,min_feature_sum_func_interpacket_interval_per_0.2,std_feature_sum_func_interpacket_interval_per_0.2,mean_feature_sum_func_interpacket_interval_per_0.2,max_feature_mean_func_interpacket_interval_per_0.05,min_feature_mean_func_interpacket_interval_per_0.05,std_feature_mean_func_interpacket_interval_per_0.05,mean_feature_mean_func_interpacket_interval_per_0.05,max_feature_sum_func_interpacket_interval_per_0.05,min_feature_sum_func_interpacket_interval_per_0.05,std_feature_sum_func_interpacket_interval_per_0.05,mean_feature_sum_func_interpacket_interval_per_0.05,max_feature_mean_func_packet_length_per_0.2,min_feature_mean_func_packet_length_per_0.2,std_feature_mean_func_packet_length_per_0.2,mean_feature_mean_func_packet_length_per_0.2,max_feature_sum_func_packet_length_per_0.2,min_feature_sum_func_packet_length_per_0.2,std_feature_sum_func_packet_length_per_0.2,mean_feature_sum_func_packet_length_per_0.2,max_feature_mean_func_packet_length_per_0.05,min_feature_mean_func_packet_length_per_0.05,std_feature_mean_func_packet_length_per_0.05,mean_feature_mean_func_packet_length_per_0.05,max_feature_sum_func_packet_length_per_0.05,min_feature_sum_func_packet_length_per_0.05,std_feature_sum_func_packet_length_per_0.05,mean_feature_sum_func_packet_length_per_0.05,max_feature_packet_number_per_0.2,min_feature_packet_number_per_0.2,std_feature_packet_number_per_0.2,mean_feature_packet_number_per_0.2,label
0,192.168.1.69:47357<-->149.154.167.41:443,All packet,0.07413983345031738,0.0,0.015583165486653646,0.4674949645996094,1294,54,398.8709677419355,12365,54,0.17488479614257812,0.015923649072647095,0.06494930653082785,0.09727122187614441,2.0986175537109375,0.12738919258117676,0.8542628142233574,0.9103442827860514,0.01779501438140869,0.0014538764953613281,0.007302276007200464,0.011724179983139038,0.17795014381408691,0.0029077529907226562,0.07355412004265822,0.10274902979532878,880.6666666666666,107.66666666666667,343.80821670888434,397.68888888888887,7926.0,646.0,3026.7336629883157,3881.0,880.6666666666666,101.0,358.4036062670207,374.34343434343435,7926.0,303.0,3337.784927496411,3261.3333333333335,16,6,4.189935029992178,10.333333333333334,normal
1,192.168.1.69:47799<-->20.238.236.234:443,All packet,45.01219582557678,0.0,6.016227261225382,180.48681783676147,1514,54,384.51612903225805,11920,66,0.1304633834145286,0.005934874216715495,0.062264254598906554,0.06819912881562204,1.4350972175598145,0.03560924530029297,0.6997439861297607,0.7353532314300537,0.006257295608520508,0.00451052188873291,0.0007184575779282413,0.005322082837422689,0.06257295608520508,0.00902104377746582,0.022345720278872286,0.03252871831258138,647.3333333333334,215.75,215.79166666666669,431.5416666666667,9710.0,1726.0,3992.0,5718.0,813.9090909090909,230.33333333333334,273.1133389307771,427.69985569985573,8953.0,691.0,3685.3458453719104,3772.0,15,2,4.913134324327891,5.166666666666667,normal
2,192.168.1.69:47451<-->20.205.115.102:443,All packet,3.619626998901367,0.0,0.23131799697875977,6.014267921447754,1514,54,369.4074074074074,9974,54,0.09883952140808105,0.0001289844512939453,0.04428095477455109,0.038698678016662595,0.1976790428161621,0.00038695335388183594,0.08546275164326025,0.08150100708007812,0.0044344902038574215,0.0001289844512939453,0.0018555362412021115,0.0027021249135335285,0.02217245101928711,0.00038695335388183594,0.008997765232880574,0.01224366823832194,939.5714285714286,79.66666666666667,334.763849867681,272.20095238095234,6577.0,239.0,2478.4177694650266,1622.6,939.5714285714286,85.6,399.100387407761,375.2238095238095,6577.0,402.0,2904.814050273557,2469.0,7,1,2.057759704144291,3.375,normal
3,213.180.204.179:443<-->192.168.1.69:47630,All packet,1.4100291728973389,0.0,0.05983186562856038,1.7949559688568115,1464,54,477.0967741935484,14790,54,0.07212977409362793,0.00018393993377685547,0.029613236522001738,0.03882549603780111,0.8832554817199707,0.00036787986755371094,0.3624623474417682,0.4147574106852214,0.03537418842315674,0.00018393993377685547,0.015014469339610094,0.018901439223970688,0.3537418842315674,0.00036787986755371094,0.1378425060839019,0.11885643005371094,843.6666666666666,407.8333333333333,197.07476490652718,565.8333333333334,9812.0,2447.0,3452.2656328851635,4930.0,843.6666666666666,113.57142857142857,268.36362327612653,485.0210622710622,7733.0,795.0,2776.7669487193193,3055.75,22,3,8.339997335464535,10.333333333333334,normal
4,213.180.204.179:443<-->192.168.1.69:47507,All packet,44.95936393737793,0.0,4.005016899108886,120.1505069732666,1464,54,384.03225806451616,11905,54,0.11517296339336194,0.11517296339336194,0.0,0.11517296339336194,2.188286304473877,2.188286304473877,0.0,2.188286304473877,0.027430295944213867,0.017122069994608562,0.005154112974802652,0.022276182969411217,0.3081972599029541,0.0822908878326416,0.11295318603515625,0.19524407386779785,472.375,472.375,0.0,472.375,11337.0,11337.0,0.0,11337.0,554.0,62.0,246.0,308.0,10526.0,186.0,5170.0,5356.0,24,1,8.908422980528035,6.2,normal
5,192.168.1.69:46337<-->93.158.134.158:443,All packet,0.015800952911376953,0.0,0.0023824294408162435,0.0714728832244873,1274,54,256.61290322580646,7955,54,0.04653948942820231,0.04653948942820231,0.0,0.04653948942820231,1.3961846828460693,1.3961846828460693,0.0,1.3961846828460693,0.03451143205165863,0.0015366077423095703,0.01648741215467453,0.0180240198969841,0.5521829128265381,0.013829469680786133,0.269176721572876,0.2830061912536621,109.46153846153847,109.46153846153847,0.0,109.46153846153847,2846.0,2846.0,0.0,2846.0,380.5882352941176,66.91666666666667,156.83578431372547,223.75245098039215,6470.0,803.0,2833.5,3636.5,31,31,0.0,31.0,normal
6,192.168.1.69:51681<-->178.154.131.217:443,All packet,6.702311038970947,0.0,0.22719446023305256,6.815833806991577,1274,54,224.74193548387098,6967,54,0.048876170758847835,0.012236952781677246,0.018319608988585295,0.03055656177026254,1.3196566104888916,0.024473905563354492,0.6475913524627686,0.672065258026123,0.02479076385498047,0.008123826980590821,0.007089136925172852,0.015050514539082844,0.22311687469482422,0.024473905563354492,0.0811007982924316,0.12314939498901367,77.9090909090909,54.0,11.954545454545453,65.95454545454545,1714.0,162.0,776.0,938.0,451.72727272727275,54.0,182.55481057310237,193.86464646464648,4969.0,162.0,2074.6187333794346,2089.6666666666665,28,3,12.5,15.5,normal
7,213.180.204.127:443<-->192.168.1.69:51720,All packet,0.014364004135131836,0.0,0.0029309670130411784,0.08792901039123535,1464,54,619.0967741935484,19192,54,0.05479021072387695,0.05479021072387695,0.0,0.05479021072387695,1.6437063217163086,1.6437063217163086,0.0,1.6437063217163086,0.0410862233903673,0.014185309410095215,0.013450456990136042,0.027635766400231257,0.36977601051330566,0.22696495056152344,0.07140552997589111,0.29837048053741455,619.0967741935484,619.0967741935484,0.0,619.0967741935484,19192.0,19192.0,0.0,19192.0,693.7777777777778,515.6923076923077,89.04273504273505,604.7350427350427,12488.0,6704.0,2892.0,9596.0,31,31,0.0,31.0,normal
8,192.168.1.69:47633<-->37.140.188.208:443,All packet,0.3872220516204834,0.0,0.02557369867960612,0.7672109603881836,1414,54,280.741935483871,8703,54,0.05120555978072317,0.028757691383361816,0.011223934198680677,0.03998162558204249,0.9729056358337402,0.23006153106689453,0.37142205238342285,0.6014835834503174,0.033387032422152435,0.013483428955078125,0.008470991741500684,0.025128176236393476,0.36725735664367676,0.06741714477539062,0.12433596093686165,0.2019196351369222,193.8235294117647,91.875,50.97426470588235,142.84926470588235,3295.0,735.0,1280.0,2015.0,469.25,95.5,163.100169372791,241.63095238095238,5631.0,573.0,2266.268788608761,2441.6666666666665,20,2,7.408703590297623,10.333333333333334,normal
9,192.168.1.69:49714<-->77.88.44.55:443,All packet,0.020161867141723633,0.0,0.0031737009684244793,0.09521102905273438,1464,54,394.5806451612903,12232,54,0.06286993026733398,0.06286993026733398,0.0,0.06286993026733398,1.8860979080200195,1.8860979080200195,0.0,1.8860979080200195,0.028838555018107098,0.022797417640686036,0.003020568688710531,0.025817986329396567,0.4559483528137207,0.25954699516296387,0.09820067882537842,0.3577476739883423,280.0,280.0,0.0,280.0,7840.0,7840.0,0.0,7840.0,512.3,83.625,214.33749999999998,297.9625,5123.0,1338.0,1892.5,3230.5,31,31,0.0,31.0,normal
