,Flow,max_interpacket_interval,min_interpacket_interval,avg_interpacket_interval,sum_interpacket_interval,max_packet_length,min_packet_length,avg_packet_length,sum_packet_length,mode_packet_length,max_feature_mean_func_interpacket_interval_per_0.2,min_feature_mean_func_interpacket_interval_per_0.2,std_feature_mean_func_interpacket_interval_per_0.2,mean_feature_mean_func_interpacket_interval_per_0.2,max_feature_sum_func_interpacket_interval_per_0.2,min_feature_sum_func_interpacket_interval_per_0.2,std_feature_sum_func_interpacket_interval_per_0.2,mean_feature_sum_func_interpacket_interval_per_0.2,max_feature_mean_func_interpacket_interval_per_0.05,min_feature_mean_func_interpacket_interval_per_0.05,std_feature_mean_func_interpacket_interval_per_0.05,mean_feature_mean_func_interpacket_interval_per_0.05,max_feature_sum_func_interpacket_interval_per_0.05,min_feature_sum_func_interpacket_interval_per_0.05,std_feature_sum_func_interpacket_interval_per_0.05,mean_feature_sum_func_interpacket_interval_per_0.05,max_feature_mean_func_packet_length_per_0.2,min_feature_mean_func_packet_length_per_0.2,std_feature_mean_func_packet_length_per_0.2,mean_feature_mean_func_packet_length_per_0.2,max_feature_sum_func_packet_length_per_0.2,min_feature_sum_func_packet_length_per_0.2,std_feature_sum_func_packet_length_per_0.2,mean_feature_sum_func_packet_length_per_0.2,max_feature_mean_func_packet_length_per_0.05,min_feature_mean_func_packet_length_per_0.05,std_feature_mean_func_packet_length_per_0.05,mean_feature_mean_func_packet_length_per_0.05,max_feature_sum_func_packet_length_per_0.05,min_feature_sum_func_packet_length_per_0.05,std_feature_sum_func_packet_length_per_0.05,mean_feature_sum_func_packet_length_per_0.05,max_feature_packet_number_per_0.2,min_feature_packet_number_per_0.2,std_feature_packet_number_per_0.2,mean_feature_packet_number_per_0.2,label
0,192.168.1.78:62884<-->81.200.154.28:443,0.44319796562194824,9.5367431640625e-07,0.03966719309488932,1.1900157928466797,1514,66,364.3225806451613,11294,66,0.10779476165771484,0.03727789719899496,0.02765976774691638,0.07030613946192193,0.5657520294189453,0.22366738319396973,0.13864259439405988,0.36868953704833984,0.03727789719899496,0.0004513263702392578,0.017361998879003592,0.015063720657711938,0.22366738319396973,0.0009026527404785156,0.08749436918223451,0.06788096427917481,513.1666666666666,71.0,174.2788679495466,222.2488095238095,6158,284,2388.341409325727,2044.75,648.125,147.75,172.92327617890092,316.775,5185,591,1731.146025036594,1774.8,12,5,2.947456530637899,7.75,vpn
1,192.168.1.78:57993<-->81.200.154.28:443,15.067541122436523,1.9073486328125e-06,1.3856860717137656,41.570582151412964,1514,54,181.4516129032258,5625,66,0.09125598271687825,0.033226191997528076,0.025782551011418395,0.060408632953961684,0.27376794815063477,0.18323373794555664,0.0354486697237526,0.24108201265335083,0.022582530975341797,0.0031051158905029295,0.0070152353689772375,0.00886313756306966,0.045165061950683594,0.013406991958618164,0.012337092559325526,0.0205289363861084,104.8,66.0,16.738614772130813,82.05714285714286,640,198,196.33135256499406,390.0,524.6666666666666,66.0,178.8007581390837,190.83333333333331,3148,198,1142.5364064221324,933.6,9,2,2.368411915187052,3.875,vpn
2,192.168.1.78:61279<-->81.200.154.28:443,15.110507011413574,9.5367431640625e-07,2.0000370343526206,60.00111103057861,1514,54,247.96774193548387,7687,66,0.13364108403523764,0.030957380930582683,0.03595689367563109,0.06900218905824604,0.4627702236175537,0.09287214279174805,0.13741385887659538,0.27431859970092776,0.013791084289550781,0.0008113043648856026,0.005200512480371063,0.005370489188602993,0.027582168579101562,0.0026290416717529297,0.009631836234123874,0.011755108833312988,492.3333333333333,66.0,170.0443602253378,152.26666666666665,5908,198,2275.64376825548,1357.2,656.875,62.0,242.20904541260944,256.46875,5255,186,2126.781194669541,1590.5,12,2,3.1841621957571338,5.166666666666667,vpn
3,192.168.1.78:64867<-->81.200.154.28:443,0.16129612922668457,9.5367431640625e-07,0.023478770256042482,0.7043631076812744,1514,66,497.4193548387097,15420,66,0.07827846209208171,0.025015854835510255,0.02328320699793615,0.05753316614362929,0.9702725410461426,0.23483538627624512,0.3431337235898254,0.4850888252258301,0.003262599309285482,0.0009712151118687221,0.0008017303626724748,0.0017892315274193175,0.01117086410522461,0.002395153045654297,0.003452072331588519,0.006691646575927734,586.3636363636364,71.0,232.8278808734671,399.1878787878788,8103,284,3364.664850405692,4945.666666666667,809.125,66.0,328.60651241264225,399.475,6473,198,2907.093462549837,2809.0,15,5,4.109609335312651,10.333333333333334,vpn
4,192.168.1.78:64747<-->81.200.154.28:443,15.023271799087524,9.5367431640625e-07,2.0000562985738117,60.001688957214355,1514,54,248.74193548387098,7711,66,0.07451772689819336,0.03984316190083822,0.01316000378262943,0.06046608289082846,0.4781179428100586,0.15227031707763672,0.11514430357047957,0.25311594009399413,0.038445115089416504,0.0005156993865966797,0.014141912447448871,0.011029285192489625,0.07689023017883301,0.0010313987731933594,0.02768574672879385,0.02294917106628418,153.9,66.0,34.71405479053117,84.58,1539,198,528.8499220005615,483.4,603.8888888888889,62.0,209.50454192312816,207.77777777777777,5435,186,2053.7496439439738,1348.0,13,1,3.7155828016013257,5.166666666666667,vpn
5,192.168.1.78:64791<-->81.200.154.28:443,15.18248200416565,9.5367431640625e-07,1.7667912336496205,45.93657207489014,1514,54,268.2962962962963,7244,66,0.07755438486735027,0.03066849708557129,0.01767810422924271,0.05369389418399695,0.4907069206237793,0.09200549125671387,0.14774997200519469,0.2503011226654053,0.013988852500915527,0.0008585453033447266,0.00533692748656985,0.0050323860985892165,0.027977705001831055,0.0017170906066894531,0.009901675317945075,0.011418521404266357,271.3,66.0,88.19944373407353,118.575,2713,198,1077.18623621916,848.25,645.375,62.0,237.46090755572274,253.59375,5163,186,2087.155540442542,1567.5,12,2,3.4409301068170506,5.4,vpn
6,192.168.1.78:63013<-->81.200.154.28:443,1.9227149486541748,1.1920928955078125e-06,0.11790273189544678,3.5370819568634033,1514,66,487.1290322580645,15101,66,0.08118104934692383,0.0009875297546386719,0.036618749437263114,0.03746832741631402,0.24354314804077148,0.006912708282470703,0.10670604210402934,0.11561262607574463,0.002764463424682617,0.0009875297546386719,0.0007490546673454808,0.0017440230758101853,0.013320684432983398,0.005528926849365234,0.003394251605321007,0.00858743985493978,699.7272727272727,66.0,296.1488510152363,363.15681818181815,7697,198,3387.5650916255468,3584.5,753.375,241.0,229.93644774404046,564.7007575757576,7697,723,2973.1762290333363,4815.666666666667,11,1,3.762977544445356,6.2,vpn
7,192.168.1.78:64846<-->81.200.154.28:443,12.13501501083374,9.5367431640625e-07,0.42483019828796387,12.744905948638916,1514,66,629.4516129032259,19513,66,0.12802083492279054,0.04438051310452548,0.03429882512121124,0.0839138823326188,1.2802083492279053,0.2380208969116211,0.4442268004178733,0.6688049634297689,0.048192811012268064,0.001092672348022461,0.022172647047933036,0.016836042631240118,0.48192811012268066,0.002185344696044922,0.22466580487370377,0.16422398885091147,915.4285714285714,71.0,344.7540790643297,490.7539682539682,12816,284,5127.413643023807,6310.0,953.0,241.0,292.0003805172559,616.6666666666666,12389,723,4802.372816292657,6120.0,14,5,3.858612300930075,10.333333333333334,vpn
8,192.168.1.78:64777<-->81.200.154.28:443,0.1354820728302002,9.5367431640625e-07,0.01703180472056071,0.5109541416168213,1514,66,614.9677419354839,19064,66,0.12669741539728074,0.01265390714009603,0.04683878698997995,0.07329631987072173,2.6606457233428955,0.037961721420288086,1.1912488744150207,0.9800734519958496,0.0009474754333496094,0.00029172499974568683,0.0002811556820090134,0.0006803472836812338,0.00481104850769043,0.0018949508666992188,0.0011925262140465727,0.003402233123779297,1051.75,71.0,401.9282004931961,586.219696969697,13990,284,5763.404221657736,6160.333333333333,855.1428571428571,241.0,262.1582147558654,602.2240896358543,12079,723,4640.193410719955,6262.666666666667,22,4,8.259674462242577,10.333333333333334,vpn
9,192.168.1.78:64581<-->81.200.154.28:443,0.27468013763427734,9.5367431640625e-07,0.025086005528767902,0.7525801658630371,1514,66,635.3225806451613,19695,66,0.07936747868855794,0.0009280045827229818,0.035662755003539465,0.029048787222968206,0.23810243606567383,0.005568027496337891,0.09535656091113043,0.11547787984212239,0.006850878397623698,0.0003319978713989258,0.0029426265958299616,0.0027036269505818686,0.10276317596435547,0.0006639957427978516,0.04701676889398529,0.036331733067830406,756.1176470588235,71.0,303.552729374691,496.9651416122004,12854,284,5139.340640804248,6370.666666666667,834.5714285714286,241.0,271.86959836425115,624.9404761904761,12788,723,4944.304265178941,6451.0,17,5,4.988876515698588,10.333333333333334,vpn
