,Flow,Description,max_interpacket_interval,min_interpacket_interval,avg_interpacket_interval,sum_interpacket_interval,max_packet_length,min_packet_length,avg_packet_length,sum_packet_length,mode_packet_length,max_feature_mean_func_interpacket_interval_per_0.2,min_feature_mean_func_interpacket_interval_per_0.2,std_feature_mean_func_interpacket_interval_per_0.2,mean_feature_mean_func_interpacket_interval_per_0.2,max_feature_sum_func_interpacket_interval_per_0.2,min_feature_sum_func_interpacket_interval_per_0.2,std_feature_sum_func_interpacket_interval_per_0.2,mean_feature_sum_func_interpacket_interval_per_0.2,max_feature_mean_func_interpacket_interval_per_0.05,min_feature_mean_func_interpacket_interval_per_0.05,std_feature_mean_func_interpacket_interval_per_0.05,mean_feature_mean_func_interpacket_interval_per_0.05,max_feature_sum_func_interpacket_interval_per_0.05,min_feature_sum_func_interpacket_interval_per_0.05,std_feature_sum_func_interpacket_interval_per_0.05,mean_feature_sum_func_interpacket_interval_per_0.05,max_feature_mean_func_packet_length_per_0.2,min_feature_mean_func_packet_length_per_0.2,std_feature_mean_func_packet_length_per_0.2,mean_feature_mean_func_packet_length_per_0.2,max_feature_sum_func_packet_length_per_0.2,min_feature_sum_func_packet_length_per_0.2,std_feature_sum_func_packet_length_per_0.2,mean_feature_sum_func_packet_length_per_0.2,max_feature_mean_func_packet_length_per_0.05,min_feature_mean_func_packet_length_per_0.05,std_feature_mean_func_packet_length_per_0.05,mean_feature_mean_func_packet_length_per_0.05,max_feature_sum_func_packet_length_per_0.05,min_feature_sum_func_packet_length_per_0.05,std_feature_sum_func_packet_length_per_0.05,mean_feature_sum_func_packet_length_per_0.05,max_feature_packet_number_per_0.2,min_feature_packet_number_per_0.2,std_feature_packet_number_per_0.2,mean_feature_packet_number_per_0.2,label
0,192.168.1.80:50176<-->81.200.154.28:443,All packet,0.3972330093383789,3.0994415283203125e-06,0.0351578950881958,1.054736852645874,2962,66,555.8387096774194,17231,66,0.08723664283752441,0.001733630895614624,0.03269661243350128,0.03463135411341985,0.26170992851257324,0.013869047164916992,0.08854292897111635,0.12705445289611816,0.017964976174490794,0.001733630895614624,0.006529982155161207,0.009902808495930263,0.12575483322143555,0.008071184158325195,0.043765922024268836,0.03985095024108887,641.75,70.0,217.4542614863468,435.9951923076923,6750.0,280.0,2352.862870526032,3425.25,833.6666666666666,66.0,277.8301018808277,460.77333333333337,6552.0,198.0,2324.3663738748246,2812.6,13,4,3.5619517121937516,7.75,vpn
1,192.168.1.80:50158<-->81.200.154.28:443,All packet,0.13333392143249512,1.9073486328125e-06,0.02533559799194336,0.7600679397583008,1514,66,546.2903225806451,16935,66,0.1443941593170166,0.05641007423400879,0.03403245750105142,0.09975731656664893,0.8302938938140869,0.23883485794067383,0.24923427831995895,0.5323899984359741,0.031589905420939125,0.0001076062520345052,0.011922555544915609,0.009096598625183106,0.09476971626281738,0.0003228187561035156,0.03586102100622826,0.026987115542093914,955.8571428571429,70.0,314.2933069257887,496.68223443223445,6691.0,280.0,2720.825644450596,4075.75,1514.0,70.0,541.9343488153578,592.1166666666667,6625.0,210.0,2373.868321022789,2530.8333333333335,13,5,3.112474899497183,7.75,vpn
2,192.168.1.80:48274<-->81.200.154.28:443,All packet,8.772287845611572,2.8133392333984375e-05,0.3216672976811727,9.65001893043518,1514,66,509.51612903225805,15795,66,0.10293722152709961,0.00037606557210286457,0.037265761790587514,0.06980231530738598,0.9901559352874756,0.0011281967163085938,0.3376344903032383,0.3471816539764404,0.010504603385925293,0.00037606557210286457,0.0034374136124259106,0.0063902250925699875,0.07427430152893066,0.0011281967163085938,0.02564956470575165,0.024739551544189452,807.0,71.33333333333333,264.72949245933626,492.96000000000004,6807.0,214.0,2286.8878765693785,3026.2,807.0,66.0,282.8403433647872,493.9636363636364,6543.0,198.0,2240.3183702322312,2595.0,15,3,4.445222154178574,6.2,vpn
3,192.168.1.80:50206<-->81.200.154.28:443,All packet,0.13461899757385254,3.0994415283203125e-06,0.017542902628580728,0.5262870788574219,1514,66,498.96774193548384,15468,66,0.09500535329182942,0.00397513129494407,0.04278270914084486,0.03450230299824416,0.2850160598754883,0.043726444244384766,0.11338429080744694,0.12466891606648763,0.028584599494934082,0.003246466318766276,0.010472684588547705,0.01056156013951157,0.057169198989868164,0.012880086898803711,0.01649320402719545,0.03574848175048828,653.4166666666666,70.0,244.82835749697927,401.781746031746,7841.0,280.0,3336.459300915668,4956.0,653.4166666666666,66.0,243.45558343997374,390.3617424242424,7841.0,198.0,3399.286322156461,3832.0,14,5,3.858612300930075,10.333333333333334,vpn
4,192.168.1.80:50200<-->81.200.154.28:443,All packet,0.10745000839233398,1.9073486328125e-06,0.020071967442830404,0.6021590232849121,2962,66,513.516129032258,15919,66,0.08211763699849446,0.016127374437120225,0.02981711883701,0.040087164451778935,0.2463529109954834,0.14514636993408203,0.04675698896333216,0.2112268606821696,0.022016481919722122,0.002582073211669922,0.008270453779217146,0.012995281905838936,0.24218130111694336,0.005164146423339844,0.09601136308790785,0.09565383195877075,627.4615384615385,70.0,253.2224618799169,270.2205128205128,8157.0,280.0,3529.615307965193,3189.6666666666665,584.1666666666666,66.0,192.4834904536548,327.5972222222222,7010.0,198.0,2717.211944254625,2917.5,13,5,3.7712361663282534,10.333333333333334,vpn
5,192.168.1.80:48890<-->81.200.154.28:443,All packet,0.16112184524536133,2.5987625122070312e-05,0.030818470319112144,0.9245541095733643,2962,66,511.93548387096774,15870,66,0.12230904897054036,0.057916730642318726,0.02557706350235054,0.1017489954829216,1.1437594890594482,0.3669271469116211,0.2994917794628671,0.6620965003967285,0.016059517860412598,0.00015274683634440103,0.005743695747880753,0.00686520779574359,0.07927060127258301,0.0004582405090332031,0.027127028305657046,0.024089733759562176,669.1428571428571,71.33333333333333,211.84561868156004,379.6801587301587,4684.0,214.0,1698.0026501746104,3069.0,1121.5,66.0,366.2931230669951,424.13888888888886,4486.0,198.0,1663.0368473234607,1879.3333333333333,11,4,2.5860201081971503,7.75,vpn
6,192.168.1.80:50164<-->81.200.154.28:443,All packet,0.16049408912658691,2.86102294921875e-06,0.03088193734486898,0.9264581203460693,1514,66,543.0967741935484,16836,66,0.15756829579671225,0.1272500455379486,0.012772120297354672,0.14463713765144348,1.8908195495605469,0.4472792148590088,0.5936089863880836,1.1186997095743816,0.003998722348894391,0.00016248226165771484,0.0017684131553096028,0.0014998719805762882,0.027991056442260742,0.0006499290466308594,0.012650255451886624,0.010111014048258463,596.5,71.33333333333333,241.52273676456952,412.5505050505051,8351.0,214.0,3451.2570012806764,4944.333333333333,1296.5,73.33333333333333,500.28675505548875,663.3444444444444,7779.0,440.0,3154.335534889506,4807.0,14,2,4.9180788932265,7.75,vpn
7,192.168.1.80:50188<-->81.200.154.28:443,All packet,0.11966991424560547,1.9073486328125e-06,0.02069666385650635,0.6208999156951904,1514,66,485.51612903225805,15051,66,0.08957465489705403,0.0037573443518744577,0.035866913720400545,0.05209740682205244,0.8184828758239746,0.03381609916687012,0.3288225654673158,0.37367431322733563,0.021770358085632324,0.0037573443518744577,0.006848237497652845,0.015036993461941914,0.13189077377319336,0.03381609916687012,0.03841342045093103,0.07203531265258789,549.0714285714286,70.0,223.1968770636475,385.57936507936506,7687.0,280.0,3240.069580871511,4806.333333333333,759.375,66.0,279.1033267307781,428.6770833333333,6320.0,330.0,2828.8980518039175,3374.25,14,5,3.858612300930075,10.333333333333334,vpn
8,192.168.1.80:50194<-->81.200.154.28:443,All packet,2.4407711029052734,2.86102294921875e-06,0.10029319922129314,3.008795976638794,1514,66,480.0,14880,66,0.09307408332824707,0.0019251505533854167,0.040203782257676124,0.03673727247450087,0.2792222499847412,0.01732635498046875,0.10693396630218369,0.14955814679463705,0.024890899658203125,0.0019251505533854167,0.008364536383006379,0.01293026606241862,0.15212583541870117,0.01732635498046875,0.05491296244813055,0.05965471267700195,593.8333333333334,70.0,226.26754771599022,384.18253968253975,7126.0,280.0,3162.421997281338,4749.333333333333,604.0,66.0,230.75609237172193,382.2833333333333,6644.0,198.0,2938.383569243471,3408.0,14,5,3.858612300930075,10.333333333333334,vpn
9,192.168.1.80:50182<-->81.200.154.28:443,All packet,0.13454699516296387,2.1457672119140625e-06,0.019510761896769205,0.5853228569030762,2962,66,540.1290322580645,16744,66,0.08005253473917644,0.0038897196451822915,0.03146357243027036,0.045374115308125816,0.6261610984802246,0.035007476806640625,0.24507320375247277,0.30044205983479816,0.007750034332275391,0.00016117095947265625,0.0028361741658888087,0.002980720202128092,0.02663445472717285,0.000644683837890625,0.009915154406878273,0.00980839729309082,697.0769230769231,70.0,289.0578919605344,288.625641025641,9062.0,280.0,3983.4974024788257,3443.3333333333335,1239.0,66.0,433.4126992846824,408.77777777777777,7434.0,198.0,2754.096468898648,2490.8,13,5,3.7712361663282534,10.333333333333334,vpn
