,Flow,Description,max_interpacket_interval,min_interpacket_interval,avg_interpacket_interval,sum_interpacket_interval,max_packet_length,min_packet_length,avg_packet_length,sum_packet_length,mode_packet_length,max_feature_mean_func_interpacket_interval_per_0.2,min_feature_mean_func_interpacket_interval_per_0.2,std_feature_mean_func_interpacket_interval_per_0.2,mean_feature_mean_func_interpacket_interval_per_0.2,max_feature_sum_func_interpacket_interval_per_0.2,min_feature_sum_func_interpacket_interval_per_0.2,std_feature_sum_func_interpacket_interval_per_0.2,mean_feature_sum_func_interpacket_interval_per_0.2,max_feature_mean_func_interpacket_interval_per_0.05,min_feature_mean_func_interpacket_interval_per_0.05,std_feature_mean_func_interpacket_interval_per_0.05,mean_feature_mean_func_interpacket_interval_per_0.05,max_feature_sum_func_interpacket_interval_per_0.05,min_feature_sum_func_interpacket_interval_per_0.05,std_feature_sum_func_interpacket_interval_per_0.05,mean_feature_sum_func_interpacket_interval_per_0.05,max_feature_mean_func_packet_length_per_0.2,min_feature_mean_func_packet_length_per_0.2,std_feature_mean_func_packet_length_per_0.2,mean_feature_mean_func_packet_length_per_0.2,max_feature_sum_func_packet_length_per_0.2,min_feature_sum_func_packet_length_per_0.2,std_feature_sum_func_packet_length_per_0.2,mean_feature_sum_func_packet_length_per_0.2,max_feature_mean_func_packet_length_per_0.05,min_feature_mean_func_packet_length_per_0.05,std_feature_mean_func_packet_length_per_0.05,mean_feature_mean_func_packet_length_per_0.05,max_feature_sum_func_packet_length_per_0.05,min_feature_sum_func_packet_length_per_0.05,std_feature_sum_func_packet_length_per_0.05,mean_feature_sum_func_packet_length_per_0.05,max_feature_packet_number_per_0.2,min_feature_packet_number_per_0.2,std_feature_packet_number_per_0.2,mean_feature_packet_number_per_0.2,label
0,192.168.1.80:51680<-->81.200.154.28:443,All packet,15.030256032943726,2.1457672119140625e-06,0.5267325003941854,15.801975011825562,1514,66,432.03225806451616,13393,66,0.08820859591166179,0.03227145021611994,0.022148171548297735,0.0641380644807912,0.4955146312713623,0.24304509162902832,0.09936054241126048,0.33954286575317383,0.024837017059326172,0.008103013038635254,0.0065384196679385215,0.011798536777496338,0.07598733901977539,0.016206026077270508,0.023147371670957217,0.036660051345825194,565.3,66.0,244.80815660771324,312.7416666666667,6596,264,2945.1871226630064,3198.25,710.8888888888889,66.0,250.1771974490417,440.5111111111111,6398,198,2329.8751554536134,2584.6,12,4,3.344772040064913,7.75,vpn
1,192.168.1.80:51476<-->81.200.154.28:443,All packet,15.041606903076172,2.1457672119140625e-06,0.5279390017191569,15.838170051574707,1514,66,430.61290322580646,13349,66,0.09986162185668945,0.031217445026744495,0.02609879560345689,0.07125145422689842,0.7029900550842285,0.19815897941589355,0.19042712918950583,0.38603144884109497,0.03656351566314697,0.002644777297973633,0.011761201888296421,0.015090246995290121,0.07312703132629395,0.007934331893920898,0.025614335237538803,0.03905630111694336,630.6666666666666,66.0,259.2808187443684,324.97916666666663,6399,264,2894.066462177398,3154.75,689.0,66.0,254.46258009422502,373.3194444444444,6201,198,2082.7703839411156,1914.8333333333333,12,1,3.867815921162743,6.2,vpn
2,192.168.1.80:51536<-->81.200.154.28:443,All packet,15.04046106338501,2.47955322265625e-05,1.0312833627065023,30.93850088119507,2962,66,419.96774193548384,13019,66,0.09689068794250488,0.0588733090294732,0.013471557119118203,0.07836147679222955,0.7775669097900391,0.2397756576538086,0.21383329525108705,0.4594686031341553,0.007293272018432617,0.002338886260986328,0.002034702678201002,0.00581289529800415,0.036466360092163086,0.01169443130493164,0.010216485007634666,0.01884990930557251,545.5,66.0,200.88912831460044,255.175,5455,264,2200.174126631799,2347.75,649.8333333333334,66.0,232.40942486028592,265.025,3899,198,1494.8447034725714,1331.25,11,1,3.762977544445356,6.2,vpn
3,192.168.1.80:51554<-->81.200.154.28:443,All packet,15.02163815498352,2.5987625122070312e-05,0.5265089988708496,15.795269966125488,1514,66,429.2903225806452,13308,66,0.10527265071868896,0.011826896667480468,0.03573641324013436,0.06084965268770853,0.5299282073974609,0.059134483337402344,0.17861792485459838,0.314142107963562,0.04122471809387207,0.00021135807037353516,0.013331000001049484,0.012968709071477255,0.12367415428161621,0.0004227161407470703,0.042130054383658896,0.04081340630849203,591.6153846153846,70.0,246.7293461197642,326.05384615384617,7691,280,2991.878423332071,2796.0,870.0,66.0,321.94177930063574,346.1666666666667,6315,198,2211.595383176789,1740.1666666666667,13,2,3.6551333764994123,6.2,vpn
4,192.168.1.80:51498<-->81.200.154.28:443,All packet,0.12168216705322266,2.86102294921875e-06,0.02167503039042155,0.6502509117126465,1514,66,578.1290322580645,17922,66,0.08153629302978516,0.008100032806396484,0.03357268314598456,0.055502520667182066,1.1530685424804688,0.05670022964477539,0.47872888383196205,0.4847925504048665,0.01704362460545131,0.00017952919006347656,0.005556711889089554,0.007539851324898855,0.11930537223815918,0.0005385875701904297,0.0433844142704575,0.04115276336669922,683.0,70.0,272.45346187723305,452.6666666666667,10928,280,4352.109169382384,5752.666666666667,1303.0,66.0,427.8043244288211,611.65,5918,264,2462.664573180846,3530.0,16,5,4.4969125210773475,10.333333333333334,vpn
5,192.168.1.80:48042<-->81.200.154.28:443,All packet,15.019502878189087,5.2928924560546875e-05,1.1175315380096436,31.29088306427002,1514,60,266.2068965517241,7720,66,0.1156473954518636,0.024930397669474285,0.032285675215926554,0.07644492387771608,0.6853816509246826,0.07479119300842285,0.19657230562533112,0.2864499092102051,0.017714806965419223,0.0026276111602783203,0.006970974321629862,0.007862829026721772,0.12400364875793457,0.005255222320556641,0.05568929073543329,0.04525033632914225,606.0,66.0,200.63477198231382,157.38888888888889,5454,198,1947.1085114999512,1100.6666666666667,673.5,66.0,284.51137450411755,271.1666666666667,5388,198,2440.952273191756,1936.0,9,4,1.8633899812498245,4.833333333333333,vpn
6,192.168.1.80:51698<-->81.200.154.28:443,All packet,0.11984109878540039,3.600120544433594e-05,0.023604400952657065,0.7081320285797119,2962,66,552.2903225806451,17121,66,0.16338898738225302,0.05100471973419189,0.04646625002703496,0.10199708806143866,1.9606678485870361,0.2747926712036133,0.7454916408805484,0.9151692390441895,0.04053688049316406,0.006332874298095703,0.012101823178144433,0.01971970664130317,0.16780781745910645,0.01679706573486328,0.06375670489000212,0.07581893603006999,493.7142857142857,70.0,174.94396394715065,300.33809523809526,6912,280,2709.5426838408644,3521.6666666666665,799.3333333333334,66.0,274.40719328343863,456.22083333333336,6137,198,1923.4806774872127,2336.5,15,5,4.109609335312651,10.333333333333334,vpn
7,192.168.1.80:51690<-->81.200.154.28:443,All packet,0.11121106147766113,3.600120544433594e-05,0.022677230834960937,0.6803169250488281,2962,66,510.19354838709677,15816,66,0.11658945679664612,0.011850317319234213,0.04502889639650603,0.07420037521256341,1.865431308746338,0.07110190391540527,0.8006957000129626,0.7396724224090576,0.019967496395111084,0.0012312531471252441,0.006802759830515443,0.012076848745346069,0.15973997116088867,0.0049250125885009766,0.05949192545060925,0.06537669897079468,523.7647058823529,70.0,190.13663830132535,327.171568627451,8904,280,3590.113956718118,4095.3333333333335,980.8333333333334,66.0,389.13919930125667,532.5654761904763,5932,462,2663.2224254650605,3246.75,17,5,4.988876515698588,10.333333333333334,vpn
8,192.168.1.80:51108<-->81.200.154.28:443,All packet,0.1217489242553711,2.1457672119140625e-06,0.021335872014363606,0.6400761604309082,1514,66,400.64516129032256,12420,66,0.0888973871866862,0.0384066104888916,0.02085346930495762,0.06588591469658746,0.7738912105560303,0.2666921615600586,0.20729978184979445,0.5132897694905599,0.01947486400604248,0.00013947486877441406,0.0065593684465915835,0.005940832363234626,0.0664365291595459,0.0002789497375488281,0.023629036510990676,0.021437843640645344,538.75,70.0,208.87069128894677,245.1893939393939,6465,280,2691.5990703586513,2713.3333333333335,1486.3333333333333,66.0,503.81348939738143,417.68888888888887,4713,198,1955.1479625735633,1834.3333333333333,14,5,3.858612300930075,10.333333333333334,vpn
9,192.168.1.80:51186<-->81.200.154.28:443,All packet,9.995551824569702,1.9073486328125e-06,0.3903663714726766,11.710991144180298,1514,66,408.4516129032258,12662,66,0.09899674929105319,0.07912969589233398,0.008980941213043181,0.08882822959850996,1.2869577407836914,0.15825939178466797,0.4460167145839428,0.5424445271492004,0.027285671234130858,0.006917417049407959,0.009591433815385438,0.013721358776092528,0.1364283561706543,0.013921976089477539,0.054797875474336094,0.05934000015258789,619.1666666666666,70.0,253.00511795393456,327.3452380952381,7535,246,3001.991922041097,2944.0,778.5,268.0,217.13449493088123,566.3333333333334,4671,804,1673.4377789448881,3130.0,14,1,4.297932319409209,5.166666666666667,vpn
